Date,Close,High,Low,Open,Volume
09/03/2022,1985.900024,2063,1980.800049,2053.600098,1022
10/03/2022,1998.099976,2010.5,1978.099976,1978.099976,670
11/03/2022,1982.699951,1996,1959.900024,1985,865
14/03/2022,1959.599976,1977.699951,1959.599976,1976.5,145
15/03/2022,1928.5,1939.900024,1910.699951,1939.800049,71
16/03/2022,1908,1922.400024,1907.199951,1922.400024,104
17/03/2022,1942.099976,1947.199951,1933.900024,1933.900024,39
18/03/2022,1928.199951,1939.300049,1928.199951,1934.5,28
21/03/2022,1928.599976,1928.599976,1925,1925.400024,5
22/03/2022,1920.699951,1920.699951,1920.699951,1920.699951,26
23/03/2022,1936.599976,1936.599976,1936.599976,1936.599976,204
24/03/2022,1961.599976,1964,1961.599976,1963.599976,8
25/03/2022,1953.800049,1953.800049,1953.800049,1953.800049,83
28/03/2022,1939.599976,1939.599976,1932.599976,1932.599976,7
29/03/2022,1912,1912,1893.5,1893.5,128051
30/03/2022,1933.5,1937,1914.5,1918.400024,17765
31/03/2022,1949.199951,1949.900024,1919.099976,1933.5,3617
01/04/2022,1919.099976,1938,1917,1935,1016
04/04/2022,1929.199951,1936.099976,1915.599976,1921.199951,371
05/04/2022,1922.900024,1943.5,1918.400024,1927.099976,412
06/04/2022,1918.400024,1931.800049,1916.699951,1916.699951,138
07/04/2022,1933.800049,1934.800049,1919.5,1919.5,311
08/04/2022,1941.599976,1947.699951,1928.800049,1928.800049,153
11/04/2022,1944.300049,1968.400024,1941.800049,1946.599976,163
12/04/2022,1972.099976,1977.099976,1950.599976,1952.5,246
13/04/2022,1981,1981,1969.5,1969.5,204
14/04/2022,1970.900024,1978.699951,1963,1977.199951,101
18/04/2022,1982.900024,1997.099976,1972.800049,1973.400024,196
19/04/2022,1955.699951,1978.300049,1945.699951,1973.800049,130
20/04/2022,1952.300049,1953.599976,1945.5,1945.5,621
21/04/2022,1944.900024,1944.900024,1942.5,1942.5,4
22/04/2022,1931,1950.400024,1930.199951,1949.599976,178
25/04/2022,1893.199951,1925,1889.300049,1925,748
26/04/2022,1901.400024,1909.099976,1894,1900.5,302
27/04/2022,1885.900024,1900.599976,1882.199951,1897.800049,1786
28/04/2022,1888.699951,1893,1872.900024,1883.800049,513
29/04/2022,1909.300049,1918.199951,1902.400024,1902.699951,132
02/05/2022,1861.800049,1896.800049,1853,1896.699951,385
03/05/2022,1868.800049,1868.800049,1868.800049,1868.800049,466
04/05/2022,1867,1867,1867,1867,1
05/05/2022,1874,1904.300049,1874,1897,80
06/05/2022,1881.199951,1890.300049,1871.5,1874.699951,214
09/05/2022,1857.099976,1867.5,1854,1866.599976,304
10/05/2022,1839.900024,1839.900024,1839.900024,1839.900024,1540
11/05/2022,1852.599976,1852.599976,1841,1841.5,892
12/05/2022,1823.800049,1851.900024,1822.199951,1849.800049,153
13/05/2022,1807.400024,1825,1807.400024,1825,335
16/05/2022,1813.5,1813.5,1787,1790.5,34
17/05/2022,1818.199951,1828.599976,1816.699951,1824.900024,121
18/05/2022,1815.900024,1819.699951,1805,1815,311
19/05/2022,1841.199951,1841.199951,1810.699951,1810.900024,138
20/05/2022,1841.800049,1841.800049,1836.300049,1839.099976,110
23/05/2022,1847.800049,1863,1845.800049,1846.300049,216
24/05/2022,1865.099976,1867,1852.5,1852.5,33
25/05/2022,1846.199951,1846.199951,1846.199951,1846.199951,0
26/05/2022,1847.400024,1847.400024,1840.400024,1840.400024,123355
27/05/2022,1851.300049,1860.699951,1845.900024,1848.300049,30091
31/05/2022,1842.699951,1862.099976,1832.800049,1850.300049,4073
01/06/2022,1843.300049,1847.900024,1825.300049,1831,1623
02/06/2022,1866.5,1868.699951,1842.099976,1845.400024,551
03/06/2022,1845.400024,1871.800049,1845.400024,1867.599976,53
06/06/2022,1839.199951,1854.099976,1839.199951,1849,142
07/06/2022,1847.5,1851.599976,1835,1836.900024,1168
08/06/2022,1851.900024,1855,1844.400024,1844.800049,218
09/06/2022,1848.800049,1850.099976,1837.900024,1846.099976,159
10/06/2022,1871.5,1875.599976,1823.900024,1842.699951,1490
13/06/2022,1828,1873.800049,1818.699951,1873.800049,127
14/06/2022,1809.5,1825.5,1805.300049,1825,536
15/06/2022,1815.300049,1839,1810.800049,1814.099976,108
16/06/2022,1845.699951,1850.599976,1814.900024,1819.199951,136
17/06/2022,1835.599976,1853.699951,1833.599976,1853.699951,170
21/06/2022,1834.599976,1838.599976,1830.099976,1835.300049,216
22/06/2022,1834.300049,1842.699951,1821.599976,1829.5,115
23/06/2022,1825.699951,1841.199951,1825.699951,1835.5,9
24/06/2022,1826.5,1826.5,1815.800049,1820.5,61
27/06/2022,1820.900024,1830.699951,1819.900024,1830.5,77
28/06/2022,1817.5,1826,1817.5,1824.199951,391
29/06/2022,1813.699951,1830.300049,1812.800049,1818.300049,173
30/06/2022,1804.099976,1817.300049,1801,1809.599976,328
01/07/2022,1798.900024,1806.099976,1791.599976,1795.5,77
